question_id,truth,predicted,is_correct,reasoning_tokens,content_chars,finish_reason
1,A,A,true,923,840,stop
2,A,C,false,6836,0,length
3,B,B,true,389,569,stop
4,C,C,true,890,9,stop
5,B,B,true,989,9,stop
6,B,B,true,906,9,stop
7,C,A,false,1255,892,stop
8,D,D,true,7834,0,length
9,C,C,true,8012,0,length
10,D,D,true,859,9,stop
11,A,C,false,8849,0,length
12,B,B,true,1090,9,stop
13,B,B,true,7597,0,length
14,A,A,true,5520,9,stop
15,C,C,true,814,9,stop
16,C,A,false,7412,0,length
17,D,D,true,1155,9,stop
18,C,B,false,1166,9,stop
19,D,D,true,7219,0,length
20,C,C,true,821,9,stop
