question_id,truth,domain,subdomain,n_models_correct,n_models_answered,difficulty_class,consensus_pred,universal_agree
1,A,Physics,Physics (general),4,6,Easy,A,no
2,A,Chemistry,Organic Chemistry,1,4,Hard,C,no
3,B,Physics,Quantum Mechanics,4,4,Easy,B,yes-correct
4,C,Physics,Electromagnetism,4,6,Easy,C,no
5,B,Physics,Quantum Mechanics,4,5,Easy,B,no
6,B,Physics,Quantum Mechanics,4,5,Easy,B,no
7,C,Physics,High-energy,4,5,Easy,C,no
8,D,Biology,Genetics,2,4,Medium,D,no
9,C,Chemistry,Organic Chemistry,1,4,Hard,B,no
10,D,Physics,Astrophysics,4,6,Easy,D,no
11,A,Biology,Molecular Biology,3,5,Medium,A,no
12,B,Physics,High-energy,6,6,Easy,B,yes-correct
13,B,Chemistry,Organic Chemistry,1,3,Hard,D,no
14,A,Biology,Molecular Biology,3,5,Medium,A,no
15,C,Physics,Physics (general),4,5,Easy,C,no
16,C,Chemistry,Organic Chemistry,0,2,Hard,D,yes-wrong
17,D,Chemistry,Chemistry (general),4,6,Easy,D,no
18,C,Physics,Physics (general),0,4,Hard,B,no
19,D,Chemistry,Organic Chemistry,1,4,Hard,C,no
20,C,Physics,Physics (general),6,6,Easy,C,yes-correct
